seq,event,receivedAtMs,gapMs
326,tick,325984.041,1001.205
327,tick,326985.919,1001.878
328,tick,327987.634,1001.715
329,tick,328988.419,1000.785
330,tick,329990.254,1001.835
331,tick,330991.136,1000.882
332,tick,331993.284,1002.148
333,tick,332993.952,1000.668
334,tick,333995.340,1001.387
335,tick,334997.936,1002.596
336,tick,336000.084,1002.148
337,tick,337001.428,1001.344
338,tick,338003.605,1002.177
339,tick,339005.755,1002.151
340,tick,340007.806,1002.050
341,tick,341008.047,1000.241
342,tick,342009.677,1001.631
343,tick,343010.697,1001.019
344,tick,344012.937,1002.241
345,tick,345015.210,1002.273
346,tick,346017.857,1002.647
347,tick,347020.244,1002.387
348,tick,348021.772,1001.528
349,tick,349023.471,1001.699
350,tick,350026.034,1002.563
351,tick,351027.758,1001.724
352,tick,352029.721,1001.964
353,tick,353031.999,1002.278
354,tick,354034.000,1002.000
355,tick,355036.921,1002.921
356,tick,356038.873,1001.952
357,tick,357039.593,1000.721
358,tick,358041.815,1002.222
359,tick,359043.939,1002.123
360,tick,360045.662,1001.723
361,tick,361046.577,1000.915
362,tick,362048.533,1001.956
363,tick,363050.949,1002.416
364,tick,364050.709,999.760
365,tick,365052.766,1002.056
366,tick,366054.782,1002.017
367,tick,367057.097,1002.315
368,tick,368058.739,1001.642
369,tick,369060.357,1001.618
370,tick,370062.749,1002.392
371,tick,371064.132,1001.383
372,tick,372066.398,1002.266
373,tick,373067.770,1001.372
374,tick,374069.388,1001.618
375,tick,375070.251,1000.863
376,tick,376071.484,1001.234
377,tick,377073.546,1002.062
378,tick,378075.167,1001.621
379,tick,379077.731,1002.564
380,tick,380079.817,1002.086
381,tick,381081.955,1002.139
382,tick,382082.604,1000.649
383,tick,383083.113,1000.509
384,tick,384085.785,1002.671
385,tick,385087.802,1002.018
386,tick,386088.095,1000.293
387,tick,387089.412,1001.317
388,tick,388090.190,1000.778
389,tick,389091.550,1001.360
390,tick,390094.809,1003.259
391,tick,391096.803,1001.994
392,tick,392099.313,1002.510
393,tick,393100.520,1001.207
394,tick,394102.844,1002.323
395,tick,395105.038,1002.194
396,tick,396105.889,1000.851
397,tick,397107.057,1001.168
398,tick,398109.682,1002.625
399,tick,399110.697,1001.015
400,tick,400112.481,1001.784
401,tick,401114.286,1001.806
402,tick,402116.772,1002.485
403,tick,403117.743,1000.971
404,tick,404119.292,1001.549
405,tick,405121.798,1002.506
406,tick,406123.821,1002.022
407,tick,407124.698,1000.877
408,tick,408126.395,1001.697
409,tick,409129.040,1002.645
410,tick,410130.625,1001.586
411,tick,411131.314,1000.689
412,tick,412133.286,1001.971
413,tick,413135.780,1002.494
414,tick,414137.584,1001.805
415,tick,415139.597,1002.013
416,tick,416141.944,1002.346
417,tick,417143.849,1001.906
418,tick,418146.031,1002.181
419,tick,419147.315,1001.284
420,tick,420149.295,1001.980
421,tick,421151.991,1002.696
422,tick,422153.849,1001.858
423,tick,423156.046,1002.197
424,tick,424157.818,1001.772
425,tick,425160.025,1002.208
426,tick,426161.738,1001.713
427,tick,427162.686,1000.948
428,tick,428164.742,1002.056
429,tick,429166.884,1002.142
430,tick,430169.033,1002.149
431,tick,431170.254,1001.220
432,tick,432172.373,1002.119
433,tick,433174.490,1002.117
434,tick,434176.445,1001.955
435,tick,435178.590,1002.145
436,tick,436180.445,1001.854
437,tick,437182.563,1002.118
438,tick,438185.140,1002.578
439,tick,439187.376,1002.236
440,tick,440189.473,1002.097
441,tick,441190.501,1001.027
442,tick,442192.519,1002.018
443,tick,443194.637,1002.118
444,tick,444196.350,1001.713
445,tick,445198.372,1002.023
446,tick,446200.648,1002.276
447,tick,447202.222,1001.574
448,tick,448204.954,1002.732
449,tick,449206.791,1001.836
450,tick,450208.733,1001.942
451,tick,451209.219,1000.486
452,tick,452210.656,1001.437
453,tick,453213.079,1002.423
454,tick,454215.698,1002.619
455,tick,455217.036,1001.338
456,tick,456218.310,1001.274
457,tick,457220.281,1001.972
458,tick,458222.157,1001.875
459,tick,459223.743,1001.586
460,tick,460226.141,1002.398
461,tick,461228.000,1001.859
462,tick,462229.044,1001.044
463,tick,463230.689,1001.645
464,tick,464232.694,1002.005
465,tick,465234.514,1001.819
466,tick,466236.500,1001.986
467,tick,467238.272,1001.772
468,tick,468240.104,1001.832
469,tick,469240.961,1000.857
470,tick,470242.809,1001.848
471,tick,471244.209,1001.400
472,tick,472246.441,1002.231
473,tick,473248.826,1002.385
474,tick,474250.844,1002.018
475,tick,475252.400,1001.556
476,tick,476253.425,1001.026
477,tick,477256.325,1002.900
478,tick,478258.687,1002.361
479,tick,479260.636,1001.949
480,tick,480262.966,1002.330
481,tick,481264.533,1001.567
482,tick,482266.705,1002.171
483,tick,483268.611,1001.906
484,tick,484270.407,1001.797
485,tick,485272.995,1002.588
486,tick,486274.779,1001.784
487,tick,487274.498,999.719
488,tick,488275.321,1000.823
489,tick,489277.090,1001.769
490,tick,490279.866,1002.776
491,tick,491283.169,1003.304
492,tick,492285.610,1002.441
493,tick,493287.937,1002.327
494,tick,494289.472,1001.534
495,tick,495291.980,1002.509
496,tick,496294.045,1002.065
497,tick,497295.337,1001.293
498,tick,498296.118,1000.781
499,tick,499296.565,1000.447
500,tick,500297.493,1000.928
501,tick,501300.349,1002.856
502,tick,502302.947,1002.598
503,tick,503304.452,1001.505
504,tick,504306.035,1001.584
505,tick,505307.275,1001.240
506,tick,506309.408,1002.133
507,tick,507312.126,1002.718
508,tick,508313.454,1001.327
509,tick,509316.616,1003.163
510,tick,510317.349,1000.732
511,tick,511319.572,1002.223
512,tick,512321.418,1001.847
513,tick,513323.749,1002.331
514,tick,514324.457,1000.708
515,tick,515326.871,1002.414
516,tick,516328.738,1001.867
517,tick,517328.220,999.482
518,tick,518330.590,1002.370
519,tick,519332.172,1001.582
520,tick,520334.517,1002.345
521,tick,521336.434,1001.917
522,tick,522338.494,1002.060
523,tick,523340.748,1002.254
524,tick,524341.402,1000.654
525,tick,525343.317,1001.915
526,tick,526345.288,1001.971
527,tick,527347.700,1002.412
528,tick,528348.202,1000.501
529,tick,529350.733,1002.532
530,tick,530352.573,1001.840
531,tick,531354.459,1001.886
532,tick,532356.426,1001.967
533,tick,533357.630,1001.204
534,tick,534359.238,1001.608
535,tick,535361.203,1001.965
536,tick,536362.880,1001.677
