seq,event,receivedAtMs,gapMs
322,tick,321976.811,1001.822
323,tick,322978.846,1002.035
324,tick,323981.527,1002.680
325,tick,324983.265,1001.738
326,tick,325984.327,1001.062
327,tick,326986.364,1002.037
328,tick,327988.067,1001.703
329,tick,328989.148,1001.081
330,tick,329990.613,1001.466
331,tick,330991.607,1000.994
332,tick,331993.738,1002.131
333,tick,332994.426,1000.687
334,tick,333995.800,1001.375
335,tick,334998.406,1002.606
336,tick,336000.487,1002.081
337,tick,337001.758,1001.271
338,tick,338004.084,1002.326
339,tick,339006.193,1002.108
340,tick,340008.305,1002.112
341,tick,341008.539,1000.234
342,tick,342010.106,1001.566
343,tick,343011.186,1001.081
344,tick,344013.415,1002.229
345,tick,345015.665,1002.250
346,tick,346018.372,1002.707
347,tick,347020.636,1002.264
348,tick,348022.149,1001.513
349,tick,349023.792,1001.642
350,tick,350026.478,1002.687
351,tick,351028.229,1001.751
352,tick,352030.163,1001.933
353,tick,353032.357,1002.194
354,tick,354034.507,1002.150
355,tick,355037.294,1002.787
356,tick,356039.257,1001.963
357,tick,357040.023,1000.765
358,tick,358042.252,1002.229
359,tick,359044.414,1002.162
360,tick,360046.089,1001.675
361,tick,361047.073,1000.984
362,tick,362049.005,1001.932
363,tick,363051.370,1002.365
364,tick,364051.098,999.727
365,tick,365053.229,1002.131
366,tick,366055.269,1002.040
367,tick,367057.536,1002.267
368,tick,368059.108,1001.571
369,tick,369060.708,1001.600
370,tick,370063.040,1002.332
371,tick,371064.626,1001.586
372,tick,372066.815,1002.189
373,tick,373068.307,1001.492
374,tick,374069.812,1001.505
375,tick,375070.661,1000.849
376,tick,376071.853,1001.192
377,tick,377074.017,1002.164
378,tick,378075.732,1001.715
379,tick,379078.232,1002.500
380,tick,380080.191,1001.959
381,tick,381082.436,1002.245
382,tick,382083.071,1000.635
383,tick,383083.681,1000.610
384,tick,384086.241,1002.560
385,tick,385088.175,1001.934
386,tick,386088.505,1000.329
387,tick,387089.927,1001.422
388,tick,388090.864,1000.937
389,tick,389092.277,1001.413
390,tick,390095.402,1003.126
391,tick,391097.231,1001.828
392,tick,392099.661,1002.430
393,tick,393100.725,1001.064
394,tick,394103.336,1002.611
395,tick,395105.620,1002.284
396,tick,396106.432,1000.812
397,tick,397107.573,1001.141
398,tick,398110.149,1002.575
399,tick,399111.004,1000.855
400,tick,400112.942,1001.938
401,tick,401114.858,1001.916
402,tick,402117.185,1002.326
403,tick,403118.105,1000.920
404,tick,404119.701,1001.596
405,tick,405122.260,1002.559
406,tick,406124.297,1002.037
407,tick,407125.131,1000.834
408,tick,408126.779,1001.648
409,tick,409129.380,1002.601
410,tick,410131.044,1001.663
411,tick,411131.802,1000.758
412,tick,412133.771,1001.968
413,tick,413136.158,1002.388
414,tick,414138.065,1001.907
415,tick,415140.081,1002.016
416,tick,416142.390,1002.309
417,tick,417144.297,1001.908
418,tick,418146.540,1002.242
419,tick,419147.756,1001.216
420,tick,420149.692,1001.936
421,tick,421152.430,1002.738
422,tick,422154.317,1001.887
423,tick,423156.467,1002.150
424,tick,424158.230,1001.763
425,tick,425160.489,1002.260
426,tick,426162.293,1001.803
427,tick,427162.993,1000.701
428,tick,428165.134,1002.141
429,tick,429167.254,1002.120
430,tick,430169.493,1002.239
431,tick,431170.699,1001.205
432,tick,432172.870,1002.171
433,tick,433175.026,1002.156
434,tick,434176.972,1001.947
435,tick,435179.003,1002.031
436,tick,436180.832,1001.829
437,tick,437183.061,1002.229
438,tick,438185.627,1002.566
439,tick,439187.937,1002.310
440,tick,440189.968,1002.032
441,tick,441190.970,1001.002
442,tick,442192.928,1001.958
443,tick,443195.097,1002.168
444,tick,444196.932,1001.836
445,tick,445198.871,1001.939
446,tick,446201.097,1002.225
447,tick,447202.640,1001.543
448,tick,448205.243,1002.603
449,tick,449207.330,1002.087
450,tick,450209.188,1001.858
451,tick,451209.621,1000.433
452,tick,452210.996,1001.375
453,tick,453213.539,1002.543
454,tick,454216.181,1002.642
455,tick,455216.959,1000.778
456,tick,456218.727,1001.768
457,tick,457220.752,1002.025
458,tick,458222.572,1001.820
459,tick,459224.196,1001.624
460,tick,460226.497,1002.301
461,tick,461228.432,1001.935
462,tick,462229.622,1001.190
463,tick,463231.038,1001.416
464,tick,464233.110,1002.071
465,tick,465234.910,1001.801
466,tick,466237.028,1002.117
467,tick,467238.771,1001.743
468,tick,468240.574,1001.804
469,tick,469241.528,1000.954
470,tick,470243.308,1001.780
471,tick,471244.913,1001.605
472,tick,472246.810,1001.897
473,tick,473249.263,1002.453
474,tick,474251.284,1002.020
475,tick,475252.880,1001.596
476,tick,476253.843,1000.963
477,tick,477256.660,1002.816
478,tick,478259.157,1002.497
479,tick,479261.116,1001.959
480,tick,480263.427,1002.312
481,tick,481265.035,1001.608
482,tick,482267.155,1002.120
483,tick,483269.005,1001.850
484,tick,484270.860,1001.855
485,tick,485273.370,1002.510
486,tick,486275.216,1001.846
487,tick,487275.022,999.806
488,tick,488275.774,1000.752
489,tick,489277.578,1001.804
490,tick,490280.478,1002.900
491,tick,491283.608,1003.130
492,tick,492286.111,1002.503
493,tick,493288.367,1002.256
494,tick,494290.099,1001.732
495,tick,495292.406,1002.306
496,tick,496294.453,1002.048
497,tick,497295.815,1001.361
498,tick,498296.521,1000.706
499,tick,499297.064,1000.543
500,tick,500297.817,1000.753
501,tick,501300.694,1002.877
502,tick,502303.333,1002.639
503,tick,503304.912,1001.579
504,tick,504306.520,1001.607
505,tick,505307.774,1001.254
506,tick,506309.730,1001.956
507,tick,507312.403,1002.673
508,tick,508313.830,1001.427
509,tick,509316.207,1002.376
510,tick,510317.789,1001.583
511,tick,511320.110,1002.321
512,tick,512321.926,1001.815
513,tick,513324.250,1002.324
514,tick,514325.044,1000.794
515,tick,515327.381,1002.337
516,tick,516329.311,1001.930
517,tick,517328.607,999.296
518,tick,518331.012,1002.406
519,tick,519332.663,1001.651
520,tick,520334.932,1002.269
521,tick,521337.017,1002.085
522,tick,522338.916,1001.899
523,tick,523341.233,1002.317
524,tick,524341.936,1000.703
525,tick,525343.838,1001.902
526,tick,526345.728,1001.890
527,tick,527348.242,1002.514
528,tick,528348.715,1000.473
529,tick,529351.304,1002.590
530,tick,530353.121,1001.817
531,tick,531354.970,1001.848
532,tick,532356.968,1001.998
533,tick,533358.200,1001.232
534,tick,534359.748,1001.548
535,tick,535361.679,1001.931
536,tick,536363.446,1001.767
537,tick,537366.142,1002.696
538,tick,538367.697,1001.554
539,tick,539369.638,1001.941
540,tick,540369.642,1000.004
541,tick,541372.103,1002.461
542,tick,542373.542,1001.440
543,tick,543375.660,1002.117
544,tick,544377.480,1001.820
545,tick,545379.724,1002.244
546,tick,546382.095,1002.370
547,tick,547384.022,1001.928
548,tick,548385.861,1001.839
549,tick,549386.973,1001.111
550,tick,550389.105,1002.133
551,tick,551390.905,1001.800
552,tick,552393.501,1002.596
553,tick,553396.338,1002.837
554,tick,554398.159,1001.821
555,tick,555398.904,1000.745
556,tick,556401.040,1002.136
557,tick,557402.636,1001.596
558,tick,558404.799,1002.163
559,tick,559406.700,1001.901
